Form,Gloss,Count,Sa_Verb
konõto,grande,1,False
topo,n0m,1,False
axi,rapido,1,False
otyryhka,desembarcar,1,True
owo,se_levantar,1,False
hma,você_está,1,False
toh,ncm,1,False
ema,jogar,1,False
tymoke,estragada,1,False
tõ,comer,1,False
kururnu,urubu,1,False
oh,carne,1,False
ekaro,dar,1,False
j,ls0_pos,1,False
ynan,13s,1,False
etuarima,sofrer,1,True
xihpyry,feio,1,False
htao,dentro_do,1,False
tah,se_perder,1,False
omise,com_fome,1,False
omise,ccm_fome,1,False
atãkyema,regozijar,1,True
os-ereh,reflx_se-espantar,1,True
amo,cobrir,1,False
otyhka,terminar,1,True
xipo,tempconj_depois,1,False
pake,antigamente,1,False
uka,queimar,1,False
ta,comp,1,False
uahka,tirar_bucho,1,False
tu,comp,1,False
õ,comer,1,False
ryme,enquanto,1,False
ipunaka,profundamente,1,False
pito,começar,1,False
kure,boa,1,False
yrara,lagarto,1,False
tõ,grupo,1,False
hro,resposta_pos,1,False
h,enfatico,1,False
tiko,enfatico,1,False
emepy,madrugada,1,False
sã,amanhecer,1,False
emeh,amanhecer,1,False
tã,perto,1,False
pukuro,media,1,False
tuna,água,1,False
ehpi,beira,1,False
kuroko,ao_longo_de,1,False
emitapã,fome,1,False
keh,cess,1,False
pyrou,flecha,1,False
se,canp,1,False
htao,guando,1,False
otara,o_que_é_que,1,False
e,ele,1,False
esyryhma,mudar,1,True
t,conp,1,False
yryh,engatou,1,False
zaraimo,angelim,1,False
ehma,forquilha,1,False
tao,dentro,1,False
nuno,lua,1,False
ryhpoka,desengatar,1,False
toiro,una,1,False
akuruhta,adoecer,1,False
moky,lá_está,1,False
aporo,brevemente,1,False
ṽvko,cont,1,False
se,conç•,1,False
hna,está,1,True
ua,dançar,1,False
enahka,acabar,1,False
wyi,mandioca,1,False
ko,inp,1,False
se,amelior,1,False
pahne,favor,1,False
ty,canp,1,False
kara,não_é,1,False
se,coni>,1,False
axí,com_pressa,1,False
rukuh,superlativo,1,False
mokyro,aquele,1,False
pore,chegou,1,False
tyoro,diferente,1,False
se,ccnpasp,1,False
os-epory,reflx_se-encontrar,1,True
imeipo,depois,1,False
yro,ela,1,False
se,aqui,1,False
poetory,empregado,1,False
mokaro,aqueles,1,False
kynako,fez,1,True
y,eu,1,False
ri,fazer,1,False
topo,nqm,1,False
ameke,longe,1,False
inikahpozakoxi,rio_acima,1,False
ornuhpe,saudades,1,False
ekepyry,defunto,1,False
mana,está,1,True
oorih,morrer,1,False
moe,lange,1,False
jeimã,passa_verão,1,False
naeroro,por_isso,1,False
itamurune,muitos,1,False
ṽpyry,***,1,False
onokyro,bicho,1,False
se,campasp,1,False
kure,bom,1,False
se,ccmpasp,1,False
moino,de_lá,1,False
imepy,outro,1,False
poe,de_lá,1,False
atakĩma,arrumar,1,True
oximaro,juntos,1,False
nomo,abandanar,1,False
ty,themdpos,1,False
jy,ls_o_pos,1,False
hnao,se_não_estivesse,1,False
se,corop,1,False
to,thempos,1,False
oty,que,1,False
aja,mamãe!,1,False
y,minha,1,False
eneh,trazer,1,False
ẽmeh,amanhecer,1,False
nae,está,1,True
j,3pos,1,False
eny,beber,1,False
suhsu,peito,1,False
e,reflx,1,False
e-metyka,reflx-tirou_a_tanga,1,True
tomeseke,com_cuidado,1,False
nae,tem,1,False
morara,semelhante,1,False
os-enakünuh,reflx_se-engasgou,1,True
enao,junto_ccm,1,False
os-enakunuh,reflx_se-engasgou,1,True
toro,chamas,1,False
tyse,mãe_dele,1,False
u,meu,1,False
mukuru,filho,1,False
m,pos,1,False
ṽe,desc,1,False
eunohnõko,***,1,True
pika,descascar,1,False
taro,aqui,1,False
wãta,crescer,1,False
no,hortativo,1,False
roropa,tanibem,1,False
oh,came,1,False
me,ccmo,1,False
oturu,conversar,1,True
ṽ,nom,1,False
zuh,cabeça,1,False
okomino,depois,1,False
ino,de,1,False
oze,onde,1,False
po,na,1,False
rukuh,será_que_é,1,False
ahno,cozinhar,1,False
keh,query,1,False
one,ver,1,False
epuka,cair,1,True
pyra,não_há,1,False
nase,é,1,True
pake,cedo,1,False
ṽpyry,pretpos,1,False
pisarara,pequena,1,False
exi,ficar,1,True
pynoh,salvar,1,False
u,lps3po,1,False
puxa,to!,1,False
xihxi,irmã,1,False
me,corno,1,False
yty,botar_timbó,1,False
